0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:38:02 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 9162
0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:38:04 +0530] "GET /ORS_Project4/ctl/UserCtl?id=3 HTTP/1.1" 200 7527
0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:38:04 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:38:54 +0530] "GET /ORS_Project4/ctl/UserCtl?id=3 HTTP/1.1" 200 7523
0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:38:54 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:38:54 +0530] "GET /ORS_Project4/ctl/UserCtl?id=3 HTTP/1.1" 200 7523
0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:38:54 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:39:34 +0530] "GET /ORS_Project4/ctl/UserCtl HTTP/1.1" 200 7915
0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:39:34 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:40:04 +0530] "GET /ORS_Project4/ctl/UserCtl HTTP/1.1" 200 7915
0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:40:04 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
