0:0:0:0:0:0:0:1 - - [28/Feb/2023:16:29:07 +0530] "GET /ORS_Project4/ctl/MyProfileCtl HTTP/1.1" 200 6263
0:0:0:0:0:0:0:1 - - [28/Feb/2023:16:29:07 +0530] "GET /ORS_Project4/js/calendar.js HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [28/Feb/2023:16:29:33 +0530] "GET /ORS_Project4/doc/index.html HTTP/1.1" 200 5754
0:0:0:0:0:0:0:1 - - [28/Feb/2023:16:29:33 +0530] "GET /ORS_Project4/doc/jquery/jszip/dist/jszip.min.js HTTP/1.1" 200 96937
0:0:0:0:0:0:0:1 - - [28/Feb/2023:16:29:33 +0530] "GET /ORS_Project4/doc/jquery/jquery-3.5.1.js HTTP/1.1" 200 287630
0:0:0:0:0:0:0:1 - - [28/Feb/2023:16:29:33 +0530] "GET /ORS_Project4/doc/stylesheet.css HTTP/1.1" 200 23177
0:0:0:0:0:0:0:1 - - [28/Feb/2023:16:29:33 +0530] "GET /ORS_Project4/doc/jquery/jquery-ui.css HTTP/1.1" 200 20275
0:0:0:0:0:0:0:1 - - [28/Feb/2023:16:29:33 +0530] "GET /ORS_Project4/doc/jquery/jquery-ui.js HTTP/1.1" 200 71563
0:0:0:0:0:0:0:1 - - [28/Feb/2023:16:29:33 +0530] "GET /ORS_Project4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [28/Feb/2023:16:29:33 +0530] "GET /ORS_Project4/doc/jquery/jszip-utils/dist/jszip-utils.min.js HTTP/1.1" 200 1777
0:0:0:0:0:0:0:1 - - [28/Feb/2023:16:29:33 +0530] "GET /ORS_Project4/doc/script.js HTTP/1.1" 200 5192
0:0:0:0:0:0:0:1 - - [28/Feb/2023:16:29:33 +0530] "GET /ORS_Project4/doc/jquery/jszip/dist/jszip.js HTTP/1.1" 200 97649
0:0:0:0:0:0:0:1 - - [28/Feb/2023:16:29:33 +0530] "GET /ORS_Project4/doc/module-search-index.zip HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [28/Feb/2023:16:29:33 +0530] "GET /ORS_Project4/doc/package-search-index.zip HTTP/1.1" 200 278
0:0:0:0:0:0:0:1 - - [28/Feb/2023:16:29:33 +0530] "GET /ORS_Project4/doc/type-search-index.zip HTTP/1.1" 200 751
0:0:0:0:0:0:0:1 - - [28/Feb/2023:16:29:33 +0530] "GET /ORS_Project4/doc/module-search-index.js HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [28/Feb/2023:16:29:33 +0530] "GET /ORS_Project4/doc/tag-search-index.zip HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [28/Feb/2023:16:29:33 +0530] "GET /ORS_Project4/doc/jquery/jszip-utils/dist/jszip-utils.js HTTP/1.1" 200 4483
0:0:0:0:0:0:0:1 - - [28/Feb/2023:16:29:33 +0530] "GET /ORS_Project4/doc/member-search-index.zip HTTP/1.1" 200 7033
0:0:0:0:0:0:0:1 - - [28/Feb/2023:16:29:33 +0530] "GET /ORS_Project4/doc/tag-search-index.js HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [28/Feb/2023:16:29:33 +0530] "GET /ORS_Project4/doc/search.js HTTP/1.1" 200 12628
0:0:0:0:0:0:0:1 - - [28/Feb/2023:16:29:33 +0530] "GET /ORS_Project4/doc/member-search-index.js HTTP/1.1" 200 83030
0:0:0:0:0:0:0:1 - - [28/Feb/2023:16:29:33 +0530] "GET /ORS_Project4/doc/package-search-index.js HTTP/1.1" 200 249
0:0:0:0:0:0:0:1 - - [28/Feb/2023:16:29:33 +0530] "GET /ORS_Project4/doc/type-search-index.js HTTP/1.1" 200 3709
0:0:0:0:0:0:0:1 - - [28/Feb/2023:16:29:33 +0530] "GET /ORS_Project4/doc/resources/glass.png HTTP/1.1" 200 499
0:0:0:0:0:0:0:1 - - [28/Feb/2023:16:29:33 +0530] "GET /ORS_Project4/doc/resources/x.png HTTP/1.1" 200 394
0:0:0:0:0:0:0:1 - - [28/Feb/2023:16:31:02 +0530] "GET /ORS_Project4/ctl/MarksheetListCtl HTTP/1.1" 200 13683
0:0:0:0:0:0:0:1 - - [28/Feb/2023:16:31:11 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 9072
0:0:0:0:0:0:0:1 - - [28/Feb/2023:16:31:43 +0530] "GET /ORS_Project4/LoginCtl?operation=logout HTTP/1.1" 200 3070
0:0:0:0:0:0:0:1 - - [28/Feb/2023:16:34:03 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 3047
0:0:0:0:0:0:0:1 - - [28/Feb/2023:16:34:39 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1262
0:0:0:0:0:0:0:1 - - [28/Feb/2023:16:34:39 +0530] "GET /ORS_Project4/img/customLogo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2023:16:34:39 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [28/Feb/2023:16:36:58 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 3047
