0:0:0:0:0:0:0:1 - - [22/Mar/2023:14:52:00 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Mar/2023:14:52:00 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5624
0:0:0:0:0:0:0:1 - - [22/Mar/2023:14:52:00 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [22/Mar/2023:14:53:58 +0530] "GET /ORS_Project4/jsp/ErrorView404.jsp HTTP/1.1" 200 931
0:0:0:0:0:0:0:1 - - [22/Mar/2023:14:53:58 +0530] "GET /ORS_Project4/img/error_404.jpg HTTP/1.1" 200 20016
0:0:0:0:0:0:0:1 - - [22/Mar/2023:14:53:58 +0530] "GET /ORS_Project4/img/customLogo.png HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [22/Mar/2023:14:54:08 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1141
0:0:0:0:0:0:0:1 - - [22/Mar/2023:14:55:50 +0530] "GET /ORS_Project4/jsp/ErrorView.jsp HTTP/1.1" 200 927
0:0:0:0:0:0:0:1 - - [22/Mar/2023:14:55:50 +0530] "GET /ORS_Project4/img/500%20img.png HTTP/1.1" 200 3228
0:0:0:0:0:0:0:1 - - [22/Mar/2023:14:55:55 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1141
0:0:0:0:0:0:0:1 - - [22/Mar/2023:14:56:10 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2926
0:0:0:0:0:0:0:1 - - [22/Mar/2023:14:56:58 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2966
0:0:0:0:0:0:0:1 - - [22/Mar/2023:14:57:44 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2983
0:0:0:0:0:0:0:1 - - [22/Mar/2023:15:00:44 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Mar/2023:15:00:44 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5624
0:0:0:0:0:0:0:1 - - [22/Mar/2023:15:00:44 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [22/Mar/2023:15:00:44 +0530] "GET /ORS_Project4/img/logo.png HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [22/Mar/2023:15:00:58 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5825
0:0:0:0:0:0:0:1 - - [22/Mar/2023:15:00:58 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [22/Mar/2023:15:01:15 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5912
0:0:0:0:0:0:0:1 - - [22/Mar/2023:15:01:15 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [22/Mar/2023:15:01:29 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5928
0:0:0:0:0:0:0:1 - - [22/Mar/2023:15:01:29 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [22/Mar/2023:15:03:02 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5624
0:0:0:0:0:0:0:1 - - [22/Mar/2023:15:03:04 +0530] "GET /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2195
